title,subTitle,totalScore,categoryName,address,locatedIn,plusCode,website,phone,temporarilyClosed,permanentlyClosed,isAdvertisement,rank,placeId,url,searchPageUrl,searchString,location,scrapedAt,popularTimesLiveText,popularTimesLivePercent,reviewsCountText,reviewsCount,imageUrls
ACCURATE COOLING SERVICES,,4,Air conditioning store,"NO.168/D, 1ST FLOOR, 6TH MAIN, 30TH CROSS, 2ND STAGE PEENYA INDUSTRIAL, SUBURB,, PEENYA POST, BANGALORE - 560058, Bengaluru, Karnataka 560058",,"2GCH+V2 Bengaluru, Karnataka",business.site,099800 75727,,,,355,ChIJ3ZUCnho9rjsRgZ6PRQjtk7s,"https://www.google.com/maps/place/ACCURATE+COOLING+SERVICES/@13.022194,77.5253533,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3d1a9e0295dd:0xbb93ed08458f9e81!8m2!3d13.022194!4d77.527542?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.973764,77.5945957,10z?hl=en",AC Repair in Bangalore,"{""lat"":13.022194,""lng"":77.527542}",2021-02-08T15:55:53.057Z,,,3,3,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
VMS AEROKOOL,,5,Air conditioning store,"MEG Layout, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016",,"XMRG+9C Bengaluru, Karnataka",vmsaerokool.com,,,,,356,ChIJYwK3i7IRrjsRAbi4LzQ1oX8,"https://www.google.com/maps/place/VMS+AEROKOOL/@12.9909088,77.6738605,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae11b28bb70263:0x7fa135342fb8b801!8m2!3d12.9909088!4d77.6760492?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.973764,77.5945957,10z?hl=en",AC Repair in Bangalore,"{""lat"":12.9909088,""lng"":77.6760492}",2021-02-08T15:55:53.568Z,,,6,6,"[""https://lh5.googleusercontent.com/p/AF1QipPfMn6D1M9R8lnw7VPhVa4sgKLD4F70628XSZ1G=w1920-h1080-k-no""]"
Smart air systems,,,Air conditioning store,"Maruti Vidya Mandir School, 1a, 6th Cross Mallappa Layout, Babusapalya, Mallappa Layout, Prakruthi Twp, Bengaluru, Karnataka 560043",,"2MH2+4P Bengaluru, Karnataka",business.site,,,,,320,ChIJZXv7GooXrjsRnjjsLEino7M,"https://www.google.com/maps/place/Smart+air+systems/@13.027773,77.6495722,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae178a1afb7b65:0xb3a3a7482cec389e!8m2!3d13.027773!4d77.6517609?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":13.027773,""lng"":77.6517609}",2021-02-08T15:55:41.861Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Voltas Limited,,3,Electronics store,"Telecom Colony, Srinagar, Banashankari, Bengaluru, Karnataka 560026",,"XG3W+87 Bengaluru, Karnataka",voltas.com,080 2253 5620,,,,341,ChIJE9DB4xE-rjsRUofiBxIBVa0,"https://www.google.com/maps/place/Voltas+Limited/@12.9532772,77.5435558,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3e11e3c1d013:0xad55011207e28752!8m2!3d12.9532772!4d77.5457445?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.9532772,""lng"":77.5457445}",2021-02-08T15:55:57.053Z,,,5,5,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Sree air conditioning services,,5,Corporate office,"49, Mookambika Nagar, Hosakerehalli, Bengaluru, Karnataka 560085",,"WGGP+2R Bengaluru, Karnataka",,,,,,354,ChIJz0rkBn8_rjsRaFtfAR6I2c4,"https://www.google.com/maps/place/Sree+air+conditioning+services/@12.9250804,77.5349043,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3f7f06e44acf:0xced9881e015f5b68!8m2!3d12.9250804!4d77.537093?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.973764,77.5945957,10z?hl=en",AC Repair in Bangalore,"{""lat"":12.9250804,""lng"":77.537093}",2021-02-08T15:55:57.190Z,,,3,3,"[""https://lh5.googleusercontent.com/p/AF1QipMbOteeshbXrWj6VO9e1eXKtIzxtP1Q3KU5q_XV=w1920-h1080-k-no""]"
Gagana Air Conditioner,,,Air conditioning contractor,"85a, 3rd Main Rd, 2nd Stage, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560038",,"XJFP+VV Bengaluru, Karnataka",,,,,,259,ChIJOfOeniERrjsRAiHxk1KcczU,"https://www.google.com/maps/place/Gagana+Air+Conditioner/@12.9747097,77.6350426,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae11219e9ef339:0x35739c5293f12102!8m2!3d12.9746747!4d77.6372466?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.9746747,""lng"":77.6372466}",2021-02-08T15:55:48.402Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Arun's CoolingService,,3,Garage,"Anglo Indian Block, #28, B'Cross Road, Austin Town, Bengaluru, Karnataka 560047",,"XJ77+5H Bengaluru, Karnataka",aruns-cooling.business.site,,1,,,348,ChIJ6Re2iqMVrjsRirvWXKbsEu4,"https://www.google.com/maps/place/Arun's+CoolingService/@12.9629162,77.6118031,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae15a38ab617e9:0xee12eca65cd6bb8a!8m2!3d12.9629162!4d77.6139918?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.973764,77.5945957,10z?hl=en",AC Repair in Bangalore,"{""lat"":12.9629162,""lng"":77.6139918}",2021-02-08T15:56:07.473Z,,,1,1,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Comfort Solutions,,,,"No. 805, 9th A Main Rd, First Stage, Defence Colony, Indiranagar, Bengaluru, Karnataka 560038",,"XJGP+WP Bengaluru, Karnataka",,,,,,342,ChIJszwLfKQWrjsRnfMbWBzMJ2I,"https://www.google.com/maps/place/Comfort+Solutions/@12.977361,77.6346843,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae16a47c0b3cb3:0x6227cc1c581bf39d!8m2!3d12.977361!4d77.636873?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.977361,""lng"":77.636873}",2021-02-08T15:55:55.093Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Samsung Service Center,,3.7,Mobile phone repair shop,"Site no/ 17, Khatha no/ 727, office no/ 103,, 1st Floor, Krishna Grand, Marathahalli, Outer Ring Road Junction, Bangalore, Bengaluru, 560037",,"XP52+69 Bengaluru, Karnataka",samsung.com,,,,,351,ChIJ7Vt5EzMSrjsRrF_VQAWDE4M,"https://www.google.com/maps/place/Samsung+Service+Center/@12.9580207,77.6987566,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae123313795bed:0x8313830540d55fac!8m2!3d12.9580207!4d77.7009453?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.973764,77.5945957,10z?hl=en",AC Repair in Bangalore,"{""lat"":12.9580207,""lng"":77.7009453}",2021-02-08T15:56:10.250Z,,,"1,045",1045,"[""https://lh5.googleusercontent.com/p/AF1QipNVY_Yf9uosxm96UQkfaOgH4qPsIGN5Rjwwkds1=w1920-h1080-k-no""]"
Pitstop Car Service - Vijayanagar,,3.3,Car repair and maintenance,"40, 2, Nagarabhavi Main Rd, Govindaraja Nagar Ward, Govindarajanagar, Vijayanagar, Bengaluru, Karnataka 560040",,"XGGM+7F Bengaluru, Karnataka",getpitstop.com,080 4749 3501,,,,343,ChIJ33Cvzdw9rjsRC2QnQLUUp6g,"https://www.google.com/maps/place/Pitstop+Car+Service+-+Vijayanagar/@12.9756368,77.5314829,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3ddccdaf70df:0xa8a714b54027640b!8m2!3d12.9756368!4d77.5336716?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.973764,77.5945957,10z?hl=en",AC Repair in Bangalore,"{""lat"":12.9756368,""lng"":77.5336716}",2021-02-08T15:56:18.966Z,,,79,79,"[""https://lh5.googleusercontent.com/p/AF1QipMHutNAzXw3hGAlWyHAZUZ6COwHs-_qJkVB_cuD=w1920-h1080-k-no""]"
Comfort link,,5,Air conditioning system supplier,"# 84, 1st Main, 1st Cross Subash Nagar, behind service road, Thambu Chetty Palya, signal, Bengaluru, Karnataka 560049",,"2P94+83 Bengaluru, Karnataka",,,,,,338,ChIJAxKMXTYRrjsRp5-0oco_ivI,"https://www.google.com/maps/place/Comfort+link/@13.0182653,77.7029946,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae11365d8c1203:0xf28a3fcaa1b49fa7!8m2!3d13.0182653!4d77.7051833?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":13.0182653,""lng"":77.7051833}",2021-02-08T15:56:24.291Z,,,2,2,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
RDS and Co - Panasonic Brandshop,,3.8,Appliance store,"44/2, Dickenson Rd, near Manipal Centre, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560042",,"XJG7+8V Bengaluru, Karnataka",panasonic.co.in,080 4113 5546,,,,350,ChIJrbT-r4gWrjsRjDmU2_JavIs,"https://www.google.com/maps/place/RDS+and+Co+-+Panasonic+Brandshop/@12.9758463,77.6125538,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1688affeb4ad:0x8bbc5af2db94398c!8m2!3d12.9758463!4d77.6147425?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.973764,77.5945957,10z?hl=en",AC Repair in Bangalore,"{""lat"":12.9758463,""lng"":77.6147425}",2021-02-08T15:56:26.799Z,,,67,67,"[""https://lh5.googleusercontent.com/p/AF1QipMXuE_iZV0q7sBUD3pkUoe63iFIbu1IfZ9Eub_b=w1920-h1080-k-no""]"
INTIME service,,1.8,Software company,"#316, 4th Main,1st floor, East of NGEF Layout, Kasturi nagar, Ramamurthy Nagar, Bengaluru, Karnataka 560016",,"2M52+6X Bengaluru, Karnataka",intimeservice.com,1860 425 1252,,,,332,ChIJR1zHR-sXrjsRd9rGTFYhFxY,"https://www.google.com/maps/place/INTIME+service/@13.0080054,77.6501878,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae17eb47c75c47:0x161721564cc6da77!8m2!3d13.0080054!4d77.6523765?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":13.0080054,""lng"":77.6523765}",2021-02-08T15:56:31.284Z,,,24,24,"[""https://lh5.googleusercontent.com/p/AF1QipNVVPrkfxqCiPfOl0FPb_7wGHlMZwE8rAvkVtBZ=w1920-h1080-k-no""]"
CLASSIC AIRCONDITIONING SERVICES,,,Air conditioning system supplier,"715, 4th Main Road, Hal, HAL 3rd Stage, Puttappa layout, New Tippasandra, Bengaluru, Karnataka 560075",,"XMC2+HC Bengaluru, Karnataka",business.site,098452 94534,,,,344,ChIJI9zj2YwXrjsR9ayjgOv0BFk,"https://www.google.com/maps/place/CLASSIC+AIRCONDITIONING+SERVICES/@12.971486,77.6488658,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae178cd9e3dc23:0x5904f4eb80a3acf5!8m2!3d12.9715078!4d77.6510536?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.973764,77.5945957,10z?hl=en",AC Repair in Bangalore,"{""lat"":12.9715078,""lng"":77.6510536}",2021-02-08T15:56:16.366Z,,,,,"[""https://lh5.googleusercontent.com/p/AF1QipM4GP-i3neXnN7E8n6fbv73UL9zGTfSMdKbvdsa=w1920-h1080-k-no""]"
air conditioners,,,Air conditioning store,"Outer Ring Rd, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037",,"XP52+4J Bengaluru, Karnataka",,,,,,340,ChIJpxA0Sl0TrjsRWhvQasY4SKo,"https://www.google.com/maps/place/air+conditioners/@12.9577978,77.6994055,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae135d4a3410a7:0xaa4838c66ad01b5a!8m2!3d12.9577978!4d77.7015942?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.9577978,""lng"":77.7015942}",2021-02-08T15:56:19.027Z,,,,,"[""https://lh5.googleusercontent.com/p/AF1QipMYZFlIvAqqTvcsQvv8n_l6kuqNhtfKzQGsnWUt=w1920-h1080-k-no""]"
Carrier Aircon Limited,,,Transportation,"W-301, E-301, 22, Sunrise Chamber, Ulsoor, Ulsoor, Bengaluru, Karnataka 560008",,,carrier.com,080 2852 5131,,,,345,ChIJV42u2I8WrjsRWmdQksCblXY,"https://www.google.com/maps/place/Carrier+Aircon+Limited/@12.9813222,77.3390186,10z/data=!3m1!4b1!4m5!3m4!1s0x3bae168fd8ae8d57:0x76959bc09250675a!8m2!3d12.9814722!4d77.6192139?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.973764,77.5945957,10z?hl=en",AC Repair in Bangalore,"{""lat"":12.9814722,""lng"":77.6192139}",2021-02-08T15:56:19.788Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
microtek services,,5,Electric motor repair shop,"#9,6th a main road, 4th cross, jc nagar mahalakshmi puram, Bengaluru, Karnataka 560086",,"2G4W+FW Bengaluru, Karnataka",microtekdirect.com,099644 64107,,,,329,ChIJcYHqXpw9rjsRIsnoEiTAvZ4,"https://www.google.com/maps/place/microtek+services/@13.006148,77.5451643,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3d9c5eea8171:0x9ebdc02412e8c922!8m2!3d13.006148!4d77.547353?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":13.006148,""lng"":77.547353}",2021-02-08T15:56:44.614Z,,,1,1,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
daikin Air Conditioner Service Center in HSR Layout,,,Air conditioning store,"Sector 2, PWD Quarters, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",,"WM93+GC Bengaluru, Karnataka",,,,,,333,ChIJwUlB4JYVrjsR57vnOoMHxU0,"https://www.google.com/maps/place/daikin+Air+Conditioner+Service+Center+in+HSR+Layout/@12.9187744,77.6514145,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1596e04149c1:0x4dc507833ae7bbe7!8m2!3d12.9187744!4d77.6536032?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.9187744,""lng"":77.6536032}",2021-02-08T15:56:32.974Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
IPF Skill Gate Institute - Mobile Repair/Servicing Training Center,,4.8,Training centre,"# 74, 12th Main, RTO Office Road Near ESI Hospital, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010",,"XHR3+9R Bengaluru, Karnataka",ipfskillgateinstitute.com,098867 92242      smartphones13,,,,331,ChIJufjTM_M9rjsRlURunR-z0AU,"https://www.google.com/maps/place/IPF+Skill+Gate+Institute+-+Mobile+Repair%2FServicing+Training+Center/@12.9909706,77.5523627,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3df333d3f8b9:0x5d0b31f9d6e4495!8m2!3d12.9909706!4d77.5545514?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.9909706,""lng"":77.5545514}",2021-02-08T15:56:49.740Z,,,274,274,"[""https://lh5.googleusercontent.com/p/AF1QipOu-GUWLHdmu60V-79FiKI7Yd7-zxHRasDx3fU7=w1920-h1080-k-no""]"
Digitron Exclusive,,3.2,Electronics store,"740, 2nd Cross, 5th Main, Domlur 2nd Stage, Behind Sagar Super Market, 1st Stage, Domlur, Bengaluru, Karnataka 560071",,"XJ5Q+Q4 Bengaluru, Karnataka",,,1,,,327,ChIJF8V9PncWrjsRG1HNZzfjDP4,"https://www.google.com/maps/place/Digitron+Exclusive/@12.95938,77.6356723,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae16773e7dc517:0xfe0ce33767cd511b!8m2!3d12.95938!4d77.637861?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.95938,""lng"":77.637861}",2021-02-08T15:56:51.038Z,,,9,9,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
MAS Technologies,,4.8,Electronics store,"23, 1st A Main Rd, Kaveri Layout, Govindaraja Nagar Ward, Amarajyothi Nagar, Vijayanagar, Bengaluru, Karnataka 560040",,"XGFH+74 Bengaluru, Karnataka",mastechnologies.co.in,099455 52182,,,,325,ChIJmwA1g9o9rjsR2NhY03ix24E,"https://www.google.com/maps/place/MAS+Technologies/@12.9731412,77.5256161,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3dda8335009b:0x81dbb178d358d8d8!8m2!3d12.9731412!4d77.5278048?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":12.9731412,""lng"":77.5278048}",2021-02-08T15:56:56.032Z,,,6,6,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
Airwin Systems,,,Electronics store,"No 153/A Thambu Chetty Palya Main Road Ramamurthy Nagar, Thambu Chetty Palya, Battarahalli, Bengaluru, Karnataka 560036",,"2MFW+C7 Bengaluru, Karnataka",,,,,,328,ChIJ_UBcMPkQrjsRIUZgovQ3yks,"https://www.google.com/maps/place/Airwin+Systems/@13.0235278,77.6935136,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae10f9305c40fd:0x4bca37f4a2604621!8m2!3d13.0235278!4d77.6957023?hl=en","https://www.google.com/maps/search/AC+Repair+in+Bangalore/@12.9715134,76.7534638,8z?hl=en",AC Repair in Bangalore,"{""lat"":13.0235278,""lng"":77.6957023}",2021-02-08T15:56:43.225Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
