title,subTitle,totalScore,categoryName,address,locatedIn,neighborhood,street,city,postalCode,state,countryCode,plusCode,website,phone,temporarilyClosed,permanentlyClosed,isAdvertisement,rank,placeId,url,searchPageUrl,searchString,location,scrapedAt,popularTimesLiveText,popularTimesLivePercent,reviewsCountText,reviewsCount,imageUrls
TCL Brand Store - Banashankari ( BSK ),,4.8,Electronics store,"SLN Plaza, No. 953, TCL Exclusive Brandshop, 21st Main Rd, Near BDA Complex, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",,"SLN Plaza, No. 953, TCL Exclusive Brandshop, 21st Main Rd, Near BDA Complex","SLN Plaza, No. 953, TCL Exclusive Brandshop, 21st Main Rd, Near BDA Complex",Bengaluru,560070,Karnataka,IN,"WHH8+22 Bengaluru, Karnataka",tcl.com,090666 60044,,,,286,ChIJX5G8OS8VrjsRyyc5mOgrYOw,"https://www.google.com/maps/place/TCL+Brand+Store+-+Banashankari+(+BSK+)/@12.9276201,77.5628975,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae152f39bc915f:0xec602be8983927cb!8m2!3d12.9276201!4d77.5650862?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":12.9276201,""lng"":77.5650862}",2021-02-05T17:33:09.799Z,,,145,145,"[""https://lh5.googleusercontent.com/p/AF1QipOJTi1V2vdjvznZHOynM8LSPmhylELXdTaq8J3V=w1920-h1080-k-no""]"
Fast Cool Car AC,,4.7,Auto air conditioning service,"20/2, HMT Main Rd, Nh Colony, Gokul Extension, Divanarapalya, Yeswanthpur, Bengaluru, Karnataka 560022",,"20/2, HMT Main Rd","20/2, HMT Main Rd",Bengaluru,560022,Karnataka,IN,"2HC7+R7 Bengaluru, Karnataka",business.site,098441 39446,,,,281,ChIJA-lCxGE9rjsR4lJIAKjizng,"https://www.google.com/maps/place/Fast+Cool+Car+AC/@13.022004,77.5609423,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3d61c442e903:0x78cee2a8004852e2!8m2!3d13.022004!4d77.563131?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":13.022004,""lng"":77.563131}",2021-02-05T17:33:18.506Z,,,53,53,"[""https://lh5.googleusercontent.com/p/AF1QipMD-WB76hy4cQW2T7EJwz-RG-jg4W7nUaJNgvg=w1920-h1080-k-no""]"
New Ybm Inc,,3.8,Appliance store,"No.16, 1st Cross, 5th Main, S.R.Nagar, Near Post Office, Bengaluru, 560027",,"No.16, 1st Cross, 5th Main, S.R.Nagar, Near Post Office","No.16, 1st Cross, 5th Main, S.R.Nagar, Near Post Office",Bengaluru,560027,Karnataka,IN,"XH9R+2Q Bengaluru, Karnataka",,099453 23688,,,,305,ChIJCfIrCXYWrjsR83qPW1avqH0,"https://www.google.com/maps/place/New+Ybm+Inc/@12.9675829,77.5897531,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1676092bf209:0x7da8af565b8f7af3!8m2!3d12.9675829!4d77.5919418?hl=en","https://www.google.com/maps/search/AC+Dealer+in+Bangalore/@13.0882979,77.4705047,12z/data=!4m2!2m1!6e6?hl=en",AC Dealer in Bangalore,"{""lat"":12.9675829,""lng"":77.5919418}",2021-02-05T17:33:22.669Z,,,20,20,"[""https://lh4.googleusercontent.com/proxy/q79lePw62YZLTrHDnjyUAZCcQ6FK0AUGgFlsa6zckhj6_sHi8XiUB8bB80aihdvfAAzuT1c_mYtwKwXdx2ddQqgGR-GpcbWaWiXvVhbU6gu-Eymw5i87tBf3hC1GYCti2zYAZ9EZB3BE6z6xMicOdOyztFk=w1920-h1080-k-no""]"
Vasanth & Co,,3.3,Appliance store,"Bus Stop, 101/1, K.H. Road, Double Road, Prestige Court, near Lalbagh &, Shanti Nagar, Bengaluru, Karnataka 560027",,"Bus Stop, 101/1, K.H. Road, Double Road, Prestige Court, near Lalbagh &","Bus Stop, 101/1, K.H. Road, Double Road, Prestige Court, near Lalbagh &",Bengaluru,560027,Karnataka,IN,"XH5V+32 Bengaluru, Karnataka",vasanthandco.in,080 2223 6633,,,,308,ChIJ1WM1BNsVrjsRfHhawDSugIg,"https://www.google.com/maps/place/Vasanth+%26+Co/@12.9576817,77.590423,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae15db043563d5:0x8880ae34c05a787c!8m2!3d12.9576817!4d77.5926117?hl=en","https://www.google.com/maps/search/AC+Dealer+in+Bangalore/@13.0882979,77.4705047,12z/data=!4m2!2m1!6e6?hl=en",AC Dealer in Bangalore,"{""lat"":12.9576817,""lng"":77.5926117}",2021-02-05T17:33:25.037Z,,,98,98,"[""https://lh5.googleusercontent.com/p/AF1QipOvlk0VJgqb4DgeBgU5JuJ4JnIfPn5_7dI02vzn=w1920-h1080-k-no""]"
Hitachi India Private Limited,,4.3,Electronics Company,"560, Unit No. S 704, 7th floor, World Trade Center, Brigade Gateway Campus No.26/1, Dr.Rajkumar Road, Malleswaram, 055, Rajajinagar, Bengaluru, Karnataka 560055",,"560, Unit No. S 704, 7th floor, World Trade Center, Brigade Gateway Campus No.26/1, Dr.Rajkumar Road, Malleswaram, 055","560, Unit No. S 704, 7th floor, World Trade Center, Brigade Gateway Campus No.26/1, Dr.Rajkumar Road, Malleswaram, 055",Bengaluru,560055,Karnataka,IN,"2H64+WF Bengaluru, Karnataka",hitachi.co.in,,,,,307,ChIJZw6bwkEWrjsREQN0CyJ6Wqg,"https://www.google.com/maps/place/Hitachi+India+Private+Limited/@13.0122754,77.5540075,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1641c29b0e67:0xa85a7a220b740311!8m2!3d13.0122754!4d77.5561962?hl=en","https://www.google.com/maps/search/AC+Dealer+in+Bangalore/@13.0882979,77.4705047,12z/data=!4m2!2m1!6e6?hl=en",AC Dealer in Bangalore,"{""lat"":13.0122754,""lng"":77.5561962}",2021-02-05T17:33:26.442Z,,,32,32,"[""https://lh3.googleusercontent.com/proxy/73SP52iSMY55kzbqXNI6WeunvxTqph7kxRj4p-bFQHV9jGXhWRIAGz72981wfKptl2RgJ9zKAqFrDb74T6b5v47iTenWmzt_4XSKuQV7OxjOwL1XA_hdHBdIGWSYpJJO4j0i8-z4_d_thBPs_mgP9WkcrQA=w1920-h1080-k-no""]"
Trident Renault Kalyan Nagar Showroom,,4.1,Renault dealer,"No. 122/1C, Shankar Reddy Layout, Outer Ring Rd, Kalyan Nagar, Bengaluru, Karnataka 560043",,"No. 122/1C, Shankar Reddy Layout, Outer Ring Rd","No. 122/1C, Shankar Reddy Layout, Outer Ring Rd",Bengaluru,560043,Karnataka,IN,"2JGR+5P Bengaluru, Karnataka",tridentrenault.com,087228 66664,,,,304,ChIJibIgUSUXrjsRUjImpCDQD54,"https://www.google.com/maps/place/Trident+Renault+Kalyan+Nagar+Showroom/@13.0254521,77.6395991,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae17255120b289:0x9e0fd020a4263252!8m2!3d13.0254521!4d77.6417878?hl=en","https://www.google.com/maps/search/AC+Dealer+in+Bangalore/@13.0882979,77.4705047,12z/data=!4m2!2m1!6e6?hl=en",AC Dealer in Bangalore,"{""lat"":13.0254521,""lng"":77.6417878}",2021-02-05T17:33:29.536Z,,,445,445,"[""https://lh5.googleusercontent.com/p/AF1QipM2FoNaO3sVumUe9sRlMXo1bfNIro5DwO89DhCU=w1920-h1080-k-no""]"
Trident Renault Sadashivnagar Showroom,,4.2,Renault dealer,"Upper Palace Orchards, No. 210/2, Bellary Rd, Sadashiva Nagar, Bengaluru, Karnataka 560080",,"Upper Palace Orchards, No. 210/2, Bellary Rd","Upper Palace Orchards, No. 210/2, Bellary Rd",Bengaluru,560080,Karnataka,IN,"2H3M+JH Bengaluru, Karnataka",tridentrenault.com,070266 66511,,,,303,ChIJedf8nTUWrjsRQu6be84a_hM,"https://www.google.com/maps/place/Trident+Renault+Sadashivnagar+Showroom/@13.0040852,77.581742,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae16359dfcd779:0x13fe1ace7b9bee42!8m2!3d13.0040852!4d77.5839307?hl=en","https://www.google.com/maps/search/AC+Dealer+in+Bangalore/@13.0882979,77.4705047,12z/data=!4m2!2m1!6e6?hl=en",AC Dealer in Bangalore,"{""lat"":13.0040852,""lng"":77.5839307}",2021-02-05T17:33:30.568Z,,,524,524,"[""https://lh5.googleusercontent.com/p/AF1QipMcUxrn5KUgGfUy5bkICdYjKhTvrTYU6WHacaln=w1920-h1080-k-no""]"
"Refrigerant Gas R22, R134A , R404A & R410A Distribution Co",,4.7,Industrial gas supplier,,,,,,,,,,,094836 01530,,,,279,ChIJZ7ruPzE-rjsRwUGid_ucIkQ,"https://www.google.com/maps/place/Refrigerant+Gas+R22,+R134A+,+R404A+%26+R410A+Distribution+Co/@20.1527645,64.4805426,4z/data=!3m1!4b1!4m5!3m4!1s0x3bae3e313feeba67:0x44229cfb77a241c1!8m2!3d21.1334214!4d82.778933?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":21.1334214,""lng"":82.778933}",2021-02-05T17:33:35.463Z,,,73,73,"[""https://lh5.googleusercontent.com/p/AF1QipMyNaFZuzUNoYKnuT75ohmwDdZAeMnzWs32d1qk=w1920-h1080-k-no""]"
AC installation In Bangalore,,4.8,Air compressor repair service,"71/1 first floor near axis bank Bata showroom kaikondrahalli sarjapur roaf, Bengaluru, Karnataka 560035",Sunny Brooks Community,71/1 first floor near axis bank Bata showroom kaikondrahalli sarjapur roaf,71/1 first floor near axis bank Bata showroom kaikondrahalli sarjapur roaf,Bengaluru,560035,Karnataka,IN,"WM7P+4W Bengaluru, Karnataka",acservicebangalore.com,,,,,280,ChIJp4htexATrjsR6n6qwl4JSlg,"https://www.google.com/maps/place/AC+installation+In+Bangalore/@12.9127663,77.6851779,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae13107b6d88a7:0x584a095ec2aa7eea!8m2!3d12.9127663!4d77.6873666?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":12.9127663,""lng"":77.6873666}",2021-02-05T17:33:40.923Z,,,9,9,"[""https://lh5.googleusercontent.com/p/AF1QipM7ucbBHTNuNNvDnIYslIpxBzmHWpi4UcDv7oZd=w1920-h1080-k-no""]"
Poorvi Aircon,,3.7,Auto air conditioning service,"55/1, Chikka Bazar Rd, Swamy Shivanandapuram, Shivaji Nagar, Bengaluru, Karnataka 560051",,"55/1, Chikka Bazar Rd","55/1, Chikka Bazar Rd",Bengaluru,560051,Karnataka,IN,"XHPX+98 Bengaluru, Karnataka",poorvi-aircon.business.site,080 4123 9990,,,,271,ChIJPzOoQ2YWrjsRE3RrdyASidA,"https://www.google.com/maps/place/Poorvi+Aircon/@12.9859732,77.5961144,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae166643a8333f:0xd0891220776b7413!8m2!3d12.9859732!4d77.5983031?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":12.9859732,""lng"":77.5983031}",2021-02-05T17:33:43.113Z,,,14,14,"[""https://lh5.googleusercontent.com/p/AF1QipPR3h0tOcSR3mCDU9xSeeNJ6TI9KJm_qCC7juTv=w1920-h1080-k-no""]"
S S SYSTEMS,,5,Air conditioning store,"56, 4TH MAIN, 8th Cross Rd, Manjunath Nagar, Bengaluru, Karnataka 560010",,"56, 4TH MAIN, 8th Cross Rd","56, 4TH MAIN, 8th Cross Rd",Bengaluru,560010,Karnataka,IN,"XGVW+GV Bengaluru, Karnataka",jci-hitachi.in,,,,,267,ChIJAV8NsZc9rjsRyGT2xZm12BU,"https://www.google.com/maps/place/S+S+SYSTEMS/@12.993873,77.5450216,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3d97b10d5f01:0x15d8b599c5f664c8!8m2!3d12.993873!4d77.5472103?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":12.993873,""lng"":77.5472103}",2021-02-05T17:33:45.619Z,,,1,1,"[""https://lh5.googleusercontent.com/p/AF1QipN3UZVXfH5BihEDLsX3fcKqiXMcSh-Ou-hCmoLi=w1920-h1080-k-no""]"
Radian Engineering Solutions,,4.9,General contractor,"Shresta Bumi, Old Veterinary Hospital Rd, Chikkanna Garden, Shankarapura, Bengaluru, Karnataka 560004",,"Shresta Bumi, Old Veterinary Hospital Rd","Shresta Bumi, Old Veterinary Hospital Rd",Bengaluru,560004,Karnataka,IN,"XH3F+R7 Bengaluru, Karnataka",radianengg.in,080 4866 6927,,,,270,ChIJ_6_g4wIVrjsRMfw3CQH1CWI,"https://www.google.com/maps/place/Radian+Engineering+Solutions/@12.9545667,77.5710364,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1502e3e0afff:0x6209f5010937fc31!8m2!3d12.9545667!4d77.5732251?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":12.9545667,""lng"":77.5732251}",2021-02-05T17:33:51.289Z,,,33,33,"[""https://lh5.googleusercontent.com/p/AF1QipOY1nwXvwRPDPnm2B3-5ZfDlaUm9RXBu308WZMW=w1920-h1080-k-no""]"
"Washing Machine, Refrigerator, Microwave Oven, Air Conditioner repair Center in Bangalore",,,Microwave oven repair service,"Road, Telephone Employees Layout, Sunkadakatte, Bengaluru, Karnataka 560091",,Road,Road,Bengaluru,560091,Karnataka,IN,"XGV7+39 Bengaluru, Karnataka",onida.com,,,,,281,ChIJExTrpPk9rjsRpmsrzxyeSfw,"https://www.google.com/maps/place/Washing+Machine,+Refrigerator,+Microwave+Oven,+Air+Conditioner+repair+Center+in+Bangalore/@12.9927245,77.5112677,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae3df9a4eb1413:0xfc499e1ccf2b6ba6!8m2!3d12.9927245!4d77.5134564?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":12.9927245,""lng"":77.5134564}",2021-02-05T17:33:38.266Z,,,,,"[""https://maps.gstatic.com/tactile/pane/default_geocode-1x.png""]"
BTC Bazaar,,5,Air conditioning store,"post office, 35/1, BTS Road, Near mico back gate near adugodi, Dasarahalli Main Rd, Bannerughatta, Bengaluru, Karnataka 560030",,"post office, 35/1, BTS Road, Near mico back gate near adugodi, Dasarahalli Main Rd","post office, 35/1, BTS Road, Near mico back gate near adugodi, Dasarahalli Main Rd",Bengaluru,560030,Karnataka,IN,"WJX2+9W Bengaluru, Karnataka",,098863 71234,,,,265,ChIJe6pgqjgVrjsRwsR2XQ-RM9E,"https://www.google.com/maps/place/BTC+Bazaar/@12.9483818,77.6001654,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae1538aa60aa7b:0xd133910f5d76c4c2!8m2!3d12.9483818!4d77.6023541?hl=en","https://www.google.com/maps/search/Air+Conditioning+Contractor+in+Bangalore/@13.0882696,77.400459,11z?hl=en",Air Conditioning Contractor in Bangalore,"{""lat"":12.9483818,""lng"":77.6023541}",2021-02-05T17:33:55.259Z,,,8,8,"[""https://lh5.googleusercontent.com/p/AF1QipOMqa8hQ1zTjAchdIm46mj7ej2U884tFB2qx1Ev=w1920-h1080-k-no""]"
Adishwar - Rammurthy Nagar Bangalore,,3.7,Appliance store,"No Rammurth, Jayanti Nagar Main Rd, opposite Fab Mall, Ramamurthy Nagar, Bengaluru, Karnataka 560016",,"No Rammurth, Jayanti Nagar Main Rd, opposite Fab Mall","No Rammurth, Jayanti Nagar Main Rd, opposite Fab Mall",Bengaluru,560016,Karnataka,IN,"2M6C+HV Bengaluru, Karnataka",adishwarestore.com,,,,,298,ChIJdaMVQiERrjsRkjGcJuJU-NQ,"https://www.google.com/maps/place/Adishwar+-+Rammurthy+Nagar+Bangalore/@13.0114776,77.6699681,17z/data=!3m1!4b1!4m5!3m4!1s0x3bae11214215a375:0xd4f854e2269c3192!8m2!3d13.0114776!4d77.6721568?hl=en","https://www.google.com/maps/search/AC+Dealer+in+Bangalore/@13.0882979,77.4705047,12z/data=!4m2!2m1!6e6?hl=en",AC Dealer in Bangalore,"{""lat"":13.0114776,""lng"":77.6721568}",2021-02-05T17:34:03.287Z,,,349,349,"[""https://lh5.googleusercontent.com/p/AF1QipOslUc0hBIwmuo-mWcbvbwhpNGVjaNPzcP6yh38=w1920-h1080-k-no""]"
